image,st,bunya,ans,imans1,imans2,imans3,effect_type,power,question
"二次関数,png",2,二次関数,-b/2a,b/2a,a/2b,-a/2b,attack,3,二次関数y=ax^2+bx+cの頂点のx座標は？
"二次関数,png",2,二次関数,-(b^2-4ac)/4a,b^2-4ac/2a,-b/2a,b/2a,attack,3,二次関数y=ax^2+bx+cの頂点のy座標は？
"二次関数,png",2,二次関数,開口部が上向きの放物線,開口部が下向きの放物線,直線,点,defense,3,y=x^2-3x+2のグラフの形は、次のうちどれ？
"二次関数,png",2,二次関数,開口部が下向きの放物線,開口部が上向きの放物線,直線,点,defense,3,y=-x^2-4x-4のグラフの形は、次のうちどれ？
"二次関数,png",2,二次関数,y=-(x-3)^2-4,y=-(x+3)^2-4,y=(x-3)^2-4,y=-(x-3)^2+4,heal,3,"頂点が(3,-4)で、点(4,-5)を通る二次関数は？"
"二次関数,png",3,二次関数,-0.25,4月17日,1月4日,-4.25,attack,4,y=x^2-3x+2の最小値は？
"二次関数,png",3,二次関数,4,6,2,8,attack,5,y=2x^2-4x+6の最小値は？
"二次関数,png",3,二次関数,y=2(x+2)^2+2,y=2(x-2)^2+2,y=2(x+2)^2-2,y=2(x-2)^2-2,defense,4,"頂点が(-2,2)になるようにy=2x^2を平行移動したとき、その放物線の式は？"
"二次関数,png",3,二次関数,4x^2+8x+1,4x^2-8x+1,4x^2-8x+7,4x^2+8x+7,defense,5,"頂点が(-1,-3)になるようにy=4x^2を平行移動したとき、その放物線の式は？"
"二次関数,png",3,二次関数,0,-1,4,1,heal,6,"y=ax^2+bx+cが3点(1,3),(0,4),(-2,0)を通るとき、bの値は？"
"二次関数,png",4,二次関数,5,9,8,13,attack,7,y=-x^4-4x^2+5の最大値は？
"二次関数,png",4,二次関数,a≠2,a=2,a=-2,存在しない,attack,8,y=x^2-2ax+4a-4の最小値が負であるような定数aの範囲は？
"二次関数,png",4,二次関数,1,0,4,2,defense,6,f(x)=x^2-4x+4の定義域1≦x≦3における最大値は？
"二次関数,png",4,二次関数,x^2-5x+5,x^2-4x+4,2x^2-4x+4,2x^2-4x+3,defense,6,f(1)=-f(2)=-f(3)=f(4)=1を満たす二次関数f(x)とは？
"二次関数,png",4,二次関数,8,4,12,6,heal,7,"y=ax^2+bx+cが3点(1,12),(-1,4),(-5,-12)を通るとき、cの値は？"
"二次関数,png",5,二次関数,7,5,6,4,attack,11,"a,b,cを1以上7以下の互いに異なる整数とする。二次方程式ax^2+bx+c=0が2つの整数解を持つような組(a,b,c)の総数は？"
"二次関数,png",5,二次関数,19,14,16,20,attack,10,"放物線y=x^2と直線y=2x+kが2点P,Qで交わり、2点P,Q間の距離が20であるときとき、kの値は？"
"二次関数,png",5,二次関数,2,3月2日,2月3日,3,defense,9,y=x^2+2ax-3の頂点が直線y=4x+1上にあるとき、定数aの値は？
"二次関数,png",5,二次関数,-1,-0.5,-1.5,-2,defense,8,放物線y=x^2と直線y=2x+kが接するとき、kの値は？
"二次関数,png",5,二次関数,2,1,0,場合による,heal,8,a+b+c=0かつa≠0かつa≠cのとき、二次関数=ax^2+bx+cとx軸との共有点の個数は？
複素数.png,1,複素数,5,3,7,1,attack,1,|3-4i|=？
複素数.png,1,複素数,2+3i,-2+3i,-2-3i,3-2i,attack,2,2-3iの共役複素数は？
複素数.png,1,複素数,3,5,2,8,defense,1,3+5iの実部は?
複素数.png,1,複素数,5,3,2,8,defense,2,3+5iの虚部は?
複素数.png,1,複素数,-1+8i,5+8i,5-2i,-1-2i,heal,2,(2+3i)-(3-5i)=？
複素数.png,2,複素数,√(a^2+b^2),√(b^2-4a),a+b,√(a^2-b^2),attack,3,|a+bi|=？
複素数.png,2,複素数,"i, 2i",iのみ,"i, 2i, 1+2i","i, 2i, 1+2i, 3",attack,3,"次のうち、純虚数はどれ？i, 2i, 1+2i, 3"
複素数.png,2,複素数,3-i,1-i,3+3i,1+3i,defense,3,(2+i)(1-i)＝？
複素数.png,2,複素数,-7+22i,-23+22i,-7+2i,-23+2i,defense,4,(-3+2i)(5-4i)＝？
複素数.png,2,複素数,点1を中心とする半径2の円,点-1を中心とする半径2の円,点-1を中心とする一辺が2の正方形,点1を中心とする長径が2の楕円,heal,4,複素数平面上を動く点zにおいて、|z-1|=2の表す図形は？
複素数.png,3,複素数,r^n(cosnθ+isinnθ),r^n(-sinnθ+icosnθ),r^n(cosnθ-isinnθ),r^n(sinnθ-icosnθ),attack,4,z=r(cosθ+isinθ)のとき、z^n=？
複素数.png,3,複素数,-11-2i,8-i,9-8i,-12+5i,attack,5,(1+2i)^3=？
複素数.png,3,複素数,-1+2i,(11+10i)/5,-(11+10i)/3,(5-10i)/3,defense,5,(3+4i)/(1-2i)=？
複素数.png,3,複素数,4,2,16,3,defense,5,(1+i)^2(1-i)^2=？
複素数.png,3,複素数,(a-bi)/(a^2+b^2),(a+bi)/(a^2+b^2),(a-bi)/(a^2-b^2),(a+bi)/(a^2-b^2),heal,5,z=a+biのとき、zの逆数は？
複素数.png,4,複素数,±√2+i,±1+√2i,±√2-i,±1-√2i,attack,6,複素数zがz^2-2iz-3=0を満たすとき、z=？
複素数.png,4,複素数,"-1,(1±√3i)/2","-1,(1±√5i)/2","-1,(1±√3i)/4","-1,(1±√5i)/4",attack,6,複素数zがz^3=-1を満たすとき、z=？
複素数.png,4,複素数,虚軸,実軸,原点を中心とした双曲線,原点を中心とした半径1の円,defense,7,複素数平面上を動く点zにおいて、|z-1|=|z+1|の表す図形は？
複素数.png,4,複素数,(cosθ-isinθ)/r,(cosθ+isinθ)/r,1/r(cosθ+isinθ),1/r(cosθ-isinθ),heal,6,z=r(cosθ+isinθ)のとき、zの逆数は？
複素数.png,5,複素数,√2/2+√2i/2,√3/2+i/2,1/2+√3i/2,1,attack,10,|z|=1のとき、|√2+√2i+z|を最大にするzの値は？
複素数.png,5,複素数,1/2-√3i/2,#NAME?,1/2+√3i/2,#NAME?,defense,7,z=√3/2+i/2とする。z^10=？
複素数.png,5,複素数,3,0,1,2,heal,11,自然数nは3の倍数であるとする。z^2n+z^n+1をz^2+z+1で割った余りは？
足し算.png,1,足し算,16,12,35,84,defence,7,\( 9 + 7 = \ ? \)
足し算.png,1,足し算,9,40,57,40,defence,9,\( 4 + 5 = \ ? \)
足し算.png,1,足し算,9,73,33,75,defence,8,\( 6 + 3 = \ ? \)
足し算.png,1,足し算,10,12,32,20,defence,8,\( 7 + 3 = \ ? \)
足し算.png,1,足し算,9,68,51,79,attack,4,\( 8 + 1 = \ ? \)
足し算.png,2,足し算,31,78,95,17,attack,1,\( 17 + 14 = \ ? \)
足し算.png,2,足し算,48,42,98,1,heal,5,\( 30 + 18 = \ ? \)
足し算.png,2,足し算,38,80,48,14,heal,3,\( 27 + 11 = \ ? \)
足し算.png,2,足し算,31,22,8,67,heal,2,\( 11 + 20 = \ ? \)
足し算.png,2,足し算,49,44,51,91,attack,1,\( 19 + 30 = \ ? \)
足し算.png,3,足し算,83,56,50,48,attack,8,\( 39 + 44 = \ ? \)
足し算.png,3,足し算,94,19,89,26,heal,6,\( 45 + 49 = \ ? \)
足し算.png,3,足し算,84,87,20,18,attack,3,\( 35 + 49 = \ ? \)
足し算.png,3,足し算,75,43,98,53,attack,9,\( 37 + 38 = \ ? \)
足し算.png,3,足し算,67,88,41,4,heal,4,\( 33 + 34 = \ ? \)
足し算.png,4,足し算,121,52,78,27,heal,6,\( 52 + 69 = \ ? \)
足し算.png,4,足し算,132,27,87,41,defence,4,\( 67 + 65 = \ ? \)
足し算.png,4,足し算,114,83,55,21,defence,6,\( 60 + 54 = \ ? \)
足し算.png,4,足し算,112,22,36,95,attack,2,\( 59 + 53 = \ ? \)
足し算.png,4,足し算,112,89,96,33,heal,6,\( 60 + 52 = \ ? \)
足し算.png,5,足し算,197,90,45,38,heal,6,\( 98 + 99 = \ ? \)
足し算.png,5,足し算,153,28,30,67,attack,2,\( 82 + 71 = \ ? \)
足し算.png,5,足し算,140,73,9,85,defence,8,\( 70 + 70 = \ ? \)
足し算.png,5,足し算,190,51,37,81,defence,2,\( 92 + 98 = \ ? \)
足し算.png,5,足し算,178,15,15,44,heal,9,\( 80 + 98 = \ ? \)
引き算.png,1,引き算,1,60,94,58,attack,7,\( 5 - 4 = \ ? \)
引き算.png,1,引き算,4,52,65,69,attack,6,\( 9 - 5 = \ ? \)
引き算.png,1,引き算,7,96,74,6,attack,9,\( 8 - 1 = \ ? \)
引き算.png,1,引き算,0,91,76,55,defence,6,\( 5 - 5 = \ ? \)
引き算.png,1,引き算,4,90,6,67,defence,2,\( 8 - 4 = \ ? \)
引き算.png,2,引き算,39,39,24,30,attack,7,\( 25 - 14 = \ ? \)
引き算.png,2,引き算,37,91,81,97,defence,1,\( 26 - 11 = \ ? \)
引き算.png,2,引き算,46,97,60,68,attack,1,\( 28 - 18 = \ ? \)
引き算.png,2,引き算,31,91,83,54,attack,5,\( 21 - 10 = \ ? \)
引き算.png,2,引き算,48,34,86,9,heal,8,\( 30 - 18 = \ ? \)
引き算.png,3,引き算,78,46,69,82,defence,5,\( 40 - 38 = \ ? \)
引き算.png,3,引き算,78,53,46,88,attack,4,\( 44 - 34 = \ ? \)
引き算.png,3,引き算,81,54,16,27,defence,9,\( 45 - 36 = \ ? \)
引き算.png,3,引き算,76,27,81,58,heal,3,\( 46 - 30 = \ ? \)
引き算.png,3,引き算,76,32,30,87,defence,8,\( 42 - 34 = \ ? \)
引き算.png,4,引き算,122,99,34,2,defence,7,\( 68 - 54 = \ ? \)
引き算.png,4,引き算,115,38,98,10,attack,3,\( 64 - 51 = \ ? \)
引き算.png,4,引き算,117,79,40,80,defence,1,\( 61 - 56 = \ ? \)
引き算.png,4,引き算,121,79,9,99,defence,9,\( 63 - 58 = \ ? \)
引き算.png,4,引き算,120,41,40,86,heal,1,\( 70 - 50 = \ ? \)
引き算.png,5,引き算,177,59,81,96,heal,7,\( 98 - 79 = \ ? \)
引き算.png,5,引き算,173,43,61,96,defence,1,\( 88 - 85 = \ ? \)
引き算.png,5,引き算,178,45,34,18,defence,1,\( 100 - 78 = \ ? \)
引き算.png,5,引き算,174,29,80,87,attack,6,\( 92 - 82 = \ ? \)
引き算.png,5,引き算,167,98,3,43,heal,5,\( 90 - 77 = \ ? \)
掛け算.png,1,掛け算,1,36,5,92,attack,7,\( 1 \times 1 = \ ? \)
掛け算.png,1,掛け算,4,48,13,64,attack,8,\( 2 \times 2 = \ ? \)
掛け算.png,1,掛け算,2,95,8,91,attack,6,\( 2 \times 1 = \ ? \)
掛け算.png,1,掛け算,12,50,91,19,defence,3,\( 3 \times 4 = \ ? \)
掛け算.png,1,掛け算,2,93,49,69,attack,8,\( 2 \times 1 = \ ? \)
掛け算.png,2,掛け算,70,28,64,54,attack,10,\( 7 \times 10 = \ ? \)
掛け算.png,2,掛け算,48,53,30,29,attack,2,\( 6 \times 8 = \ ? \)
掛け算.png,2,掛け算,72,83,12,50,defence,9,\( 8 \times 9 = \ ? \)
掛け算.png,2,掛け算,100,10,71,71,attack,3,\( 10 \times 10 = \ ? \)
掛け算.png,2,掛け算,42,71,64,54,attack,8,\( 6 \times 7 = \ ? \)
掛け算.png,3,掛け算,154,81,8,12,attack,10,\( 14 \times 11 = \ ? \)
掛け算.png,3,掛け算,120,11,42,28,heal,7,\( 12 \times 10 = \ ? \)
掛け算.png,3,掛け算,150,47,80,96,defence,8,\( 15 \times 10 = \ ? \)
掛け算.png,3,掛け算,121,62,43,9,defence,9,\( 11 \times 11 = \ ? \)
掛け算.png,3,掛け算,182,31,97,51,attack,3,\( 13 \times 14 = \ ? \)
掛け算.png,4,掛け算,240,53,95,33,heal,9,\( 15 \times 16 = \ ? \)
掛け算.png,4,掛け算,240,19,79,83,defence,9,\( 15 \times 16 = \ ? \)
掛け算.png,4,掛け算,240,15,71,59,defence,5,\( 16 \times 15 = \ ? \)
掛け算.png,4,掛け算,240,70,73,42,heal,3,\( 16 \times 15 = \ ? \)
掛け算.png,4,掛け算,289,84,69,16,attack,7,\( 17 \times 17 = \ ? \)
掛け算.png,5,掛け算,342,55,53,89,attack,4,\( 18 \times 19 = \ ? \)
掛け算.png,5,掛け算,324,26,74,86,defence,2,\( 18 \times 18 = \ ? \)
掛け算.png,5,掛け算,342,9,50,69,attack,8,\( 19 \times 18 = \ ? \)
掛け算.png,5,掛け算,361,41,82,47,heal,3,\( 19 \times 19 = \ ? \)
掛け算.png,5,掛け算,340,18,1,61,attack,1,\( 17 \times 20 = \ ? \)
割り算.png,1,割り算,3,47,6,80,defence,9,\( 3 \div 1 = \ ? \)
割り算.png,1,割り算,5,48,32,38,heal,3,\( 15 \div 3 = \ ? \)
割り算.png,1,割り算,1,18,93,83,heal,6,\( 1 \div 1 = \ ? \)
割り算.png,1,割り算,1,58,74,77,attack,1,\( 2 \div 2 = \ ? \)
割り算.png,1,割り算,4,34,4,27,attack,6,\( 20 \div 5 = \ ? \)
割り算.png,2,割り算,8,27,86,13,attack,9,\( 72 \div 9 = \ ? \)
割り算.png,2,割り算,4,28,42,90,heal,4,\( 24 \div 6 = \ ? \)
割り算.png,2,割り算,7,34,36,70,heal,4,\( 49 \div 7 = \ ? \)
割り算.png,2,割り算,4,82,39,74,heal,2,\( 24 \div 6 = \ ? \)
割り算.png,2,割り算,2,85,81,49,attack,3,\( 14 \div 7 = \ ? \)
割り算.png,3,割り算,16.5,26,24,95,heal,2,\( 99 \div 6 = \ ? \)（小数第2位まで）
割り算.png,3,割り算,27.5,5,95,69,attack,1,\( 55 \div 2 = \ ? \)（小数第2位まで）
割り算.png,3,割り算,16,12,50,60,defence,2,\( 32 \div 2 = \ ? \)（小数第2位まで）
割り算.png,3,割り算,4.43,7,84,39,defence,1,\( 31 \div 7 = \ ? \)（小数第2位まで）
割り算.png,3,割り算,5,51,31,91,attack,10,\( 25 \div 5 = \ ? \)（小数第2位まで）
割り算.png,4,割り算,7 \( \frac{5}{9} \),39,31,26,defence,4,\( \frac{68}{9} \) を帯分数にせよ。
割り算.png,4,割り算,9 \( \frac{4}{5} \),52,53,88,attack,10,\( \frac{49}{5} \) を帯分数にせよ。
割り算.png,4,割り算,9 \( \frac{4}{7} \),96,21,66,defence,2,\( \frac{67}{7} \) を帯分数にせよ。
割り算.png,4,割り算,4 \( \frac{3}{8} \),99,91,20,defence,10,\( \frac{35}{8} \) を帯分数にせよ。
割り算.png,4,割り算,2 \( \frac{5}{9} \),67,44,36,defence,7,\( \frac{23}{9} \) を帯分数にせよ。
割り算.png,5,割り算,\( \frac{4}{1}x \),80,60,69,heal,6,\( \frac{4x}{1} \) を簡単にせよ。
割り算.png,5,割り算,\( \frac{4}{1}x \),17,41,13,attack,7,\( \frac{4x}{1} \) を簡単にせよ。
割り算.png,5,割り算,\( \frac{2}{5}x \),25,71,54,attack,6,\( \frac{2x}{5} \) を簡単にせよ。
割り算.png,5,割り算,\( \frac{3}{4}x \),30,11,40,attack,7,\( \frac{3x}{4} \) を簡単にせよ。
割り算.png,5,割り算,\( \frac{5}{4}x \),38,37,48,defence,6,\( \frac{5x}{4} \) を簡単にせよ。
小数(小学校).png,1,小数(小学校),7.3,95,95,43,attack,3,\( 3.8 + 3.5 = \ ? \)
小数(小学校).png,1,小数(小学校),0.1,94,88,6,defence,7,\( 4.6 - 4.5 = \ ? \)
小数(小学校).png,1,小数(小学校),5.8,98,34,13,defence,3,\( 3.3 + 2.5 = \ ? \)
小数(小学校).png,1,小数(小学校),1,27,10,78,attack,5,\( 5.0 - 4.0 = \ ? \)
小数(小学校).png,1,小数(小学校),7.3,57,94,34,defence,7,\( 3.3 + 4.0 = \ ? \)
小数(小学校).png,2,小数(小学校),-3.13,99,49,92,heal,5,\( 6.37 - 9.5 = \ ? \)
小数(小学校).png,2,小数(小学校),-3.92,38,11,58,attack,2,\( 1.31 - 5.23 = \ ? \)
小数(小学校).png,2,小数(小学校),6.02,68,1,99,attack,3,\( 1.92 + 4.1 = \ ? \)
小数(小学校).png,2,小数(小学校),7.16,60,3,20,heal,5,\( 5.17 + 1.99 = \ ? \)
小数(小学校).png,2,小数(小学校),0.52,31,39,67,attack,9,\( 8.68 - 8.16 = \ ? \)
小数(小学校).png,3,小数(小学校),-4.9,57,70,18,attack,7,\( 0.1 - 5 = \ ? \)
小数(小学校).png,3,小数(小学校),5,1,86,48,defence,3,\( 8 - 3.0 = \ ? \)
小数(小学校).png,3,小数(小学校),-5.9,10,38,4,defence,6,\( 2.1 - 8 = \ ? \)
小数(小学校).png,3,小数(小学校),6.2,73,62,69,attack,4,\( 11 - 4.8 = \ ? \)
小数(小学校).png,3,小数(小学校),0.7,40,94,73,heal,6,\( 2 - 1.3 = \ ? \)
小数(小学校).png,4,小数(小学校),-18.62,26,66,77,heal,8,\( 13.49 - 32.11 = \ ? \)
小数(小学校).png,4,小数(小学校),57.44,95,82,72,attack,7,\( 40.22 + 17.22 = \ ? \)
小数(小学校).png,4,小数(小学校),46.38,31,1,96,attack,2,\( 12.96 + 33.42 = \ ? \)
小数(小学校).png,4,小数(小学校),-13.12,94,89,93,heal,3,\( 11.81 - 24.93 = \ ? \)
小数(小学校).png,4,小数(小学校),77.54,94,30,4,defence,5,\( 47.9 + 29.64 = \ ? \)
小数(小学校).png,5,小数(小学校),128.68,69,33,98,heal,9,\( 91.81 + 36.87 = \ ? \)
小数(小学校).png,5,小数(小学校),154.67,71,19,1,defence,6,\( 84.98 + 69.69 = \ ? \)
小数(小学校).png,5,小数(小学校),118.71,68,7,92,defence,7,\( 96.55 + 22.16 = \ ? \)
小数(小学校).png,5,小数(小学校),-18.96,41,14,2,heal,5,\( 56.98 - 75.94 = \ ? \)
小数(小学校).png,5,小数(小学校),58.07,94,28,48,attack,10,\( 90.75 - 32.68 = \ ? \)
分数(小学校).png,1,分数(小学校),\( \frac{0}{1} \),87,99,61,heal,8,\( \frac{1}{2} - \frac{1}{2} = \ ? \)
分数(小学校).png,1,分数(小学校),\( \frac{3}{2} \),65,98,26,attack,10,\( \frac{3}{4} + \frac{3}{4} = \ ? \)
分数(小学校).png,1,分数(小学校),\( \frac{1}{1} \),64,95,13,defence,6,\( \frac{1}{2} + \frac{1}{2} = \ ? \)
分数(小学校).png,1,分数(小学校),\( \frac{1}{3} \),91,31,61,attack,6,\( \frac{2}{3} - \frac{1}{3} = \ ? \)
分数(小学校).png,1,分数(小学校),\( \frac{1}{4} \),70,67,97,attack,8,\( \frac{2}{4} - \frac{1}{4} = \ ? \)
分数(小学校).png,2,分数(小学校),\( \frac{7}{6} \),3,37,71,heal,2,\( \frac{3}{6} + \frac{4}{6} = \ ? \)
分数(小学校).png,2,分数(小学校),\( \frac{1}{9} \),6,42,15,defence,6,\( \frac{5}{9} - \frac{4}{9} = \ ? \)
分数(小学校).png,2,分数(小学校),\( \frac{5}{6} \),85,98,60,heal,10,\( \frac{1}{6} + \frac{4}{6} = \ ? \)
分数(小学校).png,2,分数(小学校),\( \frac{1}{2} \),19,66,55,attack,5,\( \frac{2}{6} - \frac{5}{6} = \ ? \)
分数(小学校).png,2,分数(小学校),\( \frac{1}{9} \),53,14,57,heal,3,\( \frac{5}{9} - \frac{6}{9} = \ ? \)
分数(小学校).png,3,分数(小学校),\( \frac{0}{1} \),91,99,75,heal,1,\( \frac{1}{2} - \frac{1}{2} = \ ? \)
分数(小学校).png,3,分数(小学校),\( \frac{1}{3} \),15,79,2,heal,4,\( \frac{1}{6} - \frac{3}{6} = \ ? \)
分数(小学校).png,3,分数(小学校),\( \frac{14}{15} \),89,24,76,attack,9,\( \frac{10}{30} + \frac{18}{30} = \ ? \)
分数(小学校).png,3,分数(小学校),\( \frac{1}{6} \),6,52,75,defence,4,\( \frac{8}{12} - \frac{6}{12} = \ ? \)
分数(小学校).png,3,分数(小学校),\( \frac{2}{15} \),10,63,14,defence,2,\( \frac{10}{15} - \frac{12}{15} = \ ? \)
分数(小学校).png,4,分数(小学校),\( \frac{4}{3} \),77,10,2,attack,9,\( \frac{12}{18} + \frac{12}{18} = \ ? \)
分数(小学校).png,4,分数(小学校),\( \frac{53}{56} \),43,74,53,heal,7,\( \frac{32}{56} + \frac{21}{56} = \ ? \)
分数(小学校).png,4,分数(小学校),\( \frac{7}{40} \),95,17,59,heal,5,\( \frac{25}{40} - \frac{32}{40} = \ ? \)
分数(小学校).png,4,分数(小学校),\( \frac{25}{36} \),44,1,94,defence,5,\( \frac{32}{72} + \frac{18}{72} = \ ? \)
分数(小学校).png,4,分数(小学校),\( \frac{17}{15} \),96,68,83,attack,10,\( \frac{10}{30} + \frac{24}{30} = \ ? \)
分数(小学校).png,5,分数(小学校),2 \( \frac{1}{3} \),26,16,98,heal,2,\( \frac{7}{6} + \frac{7}{6} = \ ? \)
分数(小学校).png,5,分数(小学校),2 \( \frac{17}{30} \),43,42,50,attack,10,\( \frac{35}{30} + \frac{42}{30} = \ ? \)
分数(小学校).png,5,分数(小学校),\( \frac{7}{9} \),74,99,80,defence,1,\( \frac{17}{9} - \frac{10}{9} = \ ? \)
分数(小学校).png,5,分数(小学校),2 \( \frac{3}{8} \),36,99,32,attack,3,\( \frac{8}{8} + \frac{11}{8} = \ ? \)
分数(小学校).png,5,分数(小学校),\( \frac{23}{35} \),31,79,49,defence,7,\( \frac{63}{35} - \frac{40}{35} = \ ? \)
大きい数.png,1,大きい数,160,11,80,72,attack,3,\( 87 + 73 = \ ? \)
大きい数.png,1,大きい数,20,34,3,92,heal,6,\( 56 - 36 = \ ? \)
大きい数.png,1,大きい数,96,34,99,55,attack,10,\( 62 + 34 = \ ? \)
大きい数.png,1,大きい数,27,63,74,52,attack,3,\( 53 - 26 = \ ? \)
大きい数.png,1,大きい数,67,6,17,92,defence,7,\( 85 - 18 = \ ? \)
大きい数.png,2,大きい数,1016,29,55,98,heal,6,\( 834 + 182 = \ ? \)
大きい数.png,2,大きい数,32,55,24,70,attack,9,\( 206 - 174 = \ ? \)
大きい数.png,2,大きい数,1208,59,73,17,heal,9,\( 890 + 318 = \ ? \)
大きい数.png,2,大きい数,623,68,66,69,attack,4,\( 925 - 302 = \ ? \)
大きい数.png,2,大きい数,561,9,65,15,attack,1,\( 708 - 147 = \ ? \)
大きい数.png,3,大きい数,6892,4,67,39,attack,6,\( 7279 - 387 = \ ? \)
大きい数.png,3,大きい数,6634,42,32,86,heal,3,\( 6087 + 547 = \ ? \)
大きい数.png,3,大きい数,8641,13,30,91,defence,6,\( 8108 + 533 = \ ? \)
大きい数.png,3,大きい数,4646,37,43,35,heal,1,\( 4335 + 311 = \ ? \)
大きい数.png,3,大きい数,3596,80,86,38,attack,2,\( 3352 + 244 = \ ? \)
大きい数.png,4,大きい数,1454,55,7,53,heal,6,\( 4468 - 3014 = \ ? \)
大きい数.png,4,大きい数,973,3,5,18,attack,1,\( 6141 - 5168 = \ ? \)
大きい数.png,4,大きい数,3670,61,12,64,heal,7,\( 1846 + 1824 = \ ? \)
大きい数.png,4,大きい数,17838,17,89,11,attack,7,\( 8039 + 9799 = \ ? \)
大きい数.png,4,大きい数,2062,36,44,79,heal,1,\( 4171 - 2109 = \ ? \)
大きい数.png,5,大きい数,44610,74,47,71,attack,10,\( 90117 - 45507 = \ ? \)
大きい数.png,5,大きい数,17056,70,76,26,heal,9,\( 78193 - 61137 = \ ? \)
大きい数.png,5,大きい数,29172,65,10,97,attack,5,\( 68867 - 39695 = \ ? \)
大きい数.png,5,大きい数,149027,5,19,20,attack,5,\( 79253 + 69774 = \ ? \)
大きい数.png,5,大きい数,120352,84,46,53,defence,1,\( 68617 + 51735 = \ ? \)
